Year,Month,SensorName,Snow Water Equivalent (in),Precipitation Accumulation (in),Air Temperature Maximum (degF),Air Temperature Minimum (degF),Air Temperature Average (degF),Precipitation Increment (in),WeekNum
1985,11,Surprise Lakes,6.00333333333,19.1033333333,41.2333333333,28.3,34.6666666667,0.53,1.06666666667
1985,12,Cougar Mountain,5.86129032258,33.5387096774,32.0,32.0,32.0,0.0935483870968,1.06451612903
1985,12,Grouse Camp,8.2935483871,12.6580645161,36.2580645161,19.0322580645,26.7741935484,0.0645161290323,1.06451612903
1985,12,June Lake,9.9935483871,45.6516129032,43.2903225806,30.6129032258,36.4193548387,0.235483870968,1.06451612903
1985,12,Lone Pine,8.37741935484,23.8161290323,35.4516129032,27.6451612903,31.7096774194,0.2,1.06451612903
1985,12,Sasse Ridge,9.47096774194,20.3806451613,28.9677419355,14.3225806452,21.5806451613,0.106451612903,1.06451612903
1985,12,Sheep Canyon,12.0225806452,32.9709677419,45.935483871,32.6774193548,37.7741935484,0.206451612903,1.06451612903
1985,12,Spencer Meadow,7.01111111111,25.9,65.3333333333,30.6666666667,45.2222222222,0.0555555555556,1.0
1985,12,Spirit Lake,0.6,25.8777777778,32.0,32.0,32.0,0.366666666667,1.22222222222
1985,12,Surprise Lakes,14.6,27.5258064516,54.5483870968,35.2258064516,43.935483871,0.0903225806452,1.06451612903
1985,2,Grouse Camp,12.5571428571,15.1214285714,27.1428571429,-0.5,17.75,0.110714285714,2.39285714286
1985,2,June Lake,38.6285714286,74.5071428571,36.8571428571,24.8928571429,30.0714285714,0.528571428571,2.39285714286
1985,2,Lone Pine,29.6071428571,45.1321428571,31.7142857143,22.75,27.5357142857,0.325,2.39285714286
1985,2,Sasse Ridge,26.08125,29.8125,33.5625,20.5,25.6875,0.1625,3.125
1985,2,Sheep Canyon,41.8571428571,61.7571428571,34.3333333333,21.9047619048,27.0952380952,0.485714285714,2.0
1985,2,Spencer Meadow,52.6642857143,41.5357142857,10.2142857143,31.9642857143,0.35,,2.39285714286
1985,2,Surprise Lakes,48.8035714286,55.5785714286,61.6785714286,47.2142857143,52.5714285714,0.267857142857,2.39285714286
1985,3,Grouse Camp,15.0258064516,17.3419354839,34.2903225806,7.61290322581,23.3548387097,0.0903225806452,2.54838709677
1985,3,June Lake,47.1387096774,86.464516129,40.7096774194,27.7419354839,33.5161290323,0.609677419355,2.54838709677
1985,3,Lone Pine,35.1225806452,51.0612903226,34.6774193548,24.3225806452,29.4193548387,0.21935483871,2.54838709677
1985,3,Sasse Ridge,28.88,32.76,32.7,17.3,22.4,0.21,1.3
1985,3,Sheep Canyon,51.2857142857,72.7928571429,41.7142857143,27.2142857143,33.4285714286,0.214285714286,2.78571428571
1985,3,Spencer Meadow,59.464516129,42.7419354839,18.8064516129,32.6129032258,0.332258064516,,2.54838709677
1985,3,Surprise Lakes,49.4709677419,61.964516129,27.4516129032,6.61290322581,15.6129032258,0.335483870968,2.54838709677
1985,4,Grouse Camp,10.1066666667,19.4533333333,43.0333333333,14.4,32.4,0.04,2.5
1985,4,June Lake,43.06,103.593333333,49.0333333333,33.6,40.6666666667,0.393333333333,2.5
1985,4,Lone Pine,35.3068965517,57.6620689655,39.2068965517,29.6551724138,34.3103448276,0.210344827586,2.44827586207
1985,4,Sasse Ridge,30.02,41.365,38.15,22.15,28.55,0.27,3.1
1985,4,Sheep Canyon,48.8428571429,80.3892857143,46.8928571429,32.0,38.3571428571,0.253571428571,2.39285714286
1985,4,Spencer Meadow,69.06,51.1,27.6666666667,38.6666666667,0.226666666667,,2.5
1985,4,Surprise Lakes,51.01,71.6633333333,37.5333333333,15.0,25.0,0.23,2.5
1985,5,Grouse Camp,0.225806451613,21.0774193548,51.0322580645,29.6129032258,40.5483870968,0.058064516129,2.54838709677
1985,5,June Lake,19.5709677419,113.812903226,54.1935483871,37.5806451613,45.1935483871,0.148387096774,2.54838709677
1985,5,Lone Pine,29.7580645161,62.8193548387,44.1935483871,33.2903225806,38.3225806452,0.0774193548387,2.54838709677
1985,5,Sasse Ridge,15.7,44.384,47.0,27.92,35.76,0.048,2.56
1985,5,Sheep Canyon,47.98,86.28,47.2,33.4,39.8,0.18,1.2
1985,5,Spencer Meadow,74.4064516129,57.3225806452,31.5806451613,44.1935483871,0.0451612903226,,2.54838709677
1985,5,Surprise Lakes,40.2032258065,77.7483870968,49.7096774194,19.8387096774,33.9032258065,0.1,2.54838709677
1985,6,Grouse Camp,0.0,23.6333333333,57.6,36.3333333333,46.9,0.0666666666667,2.5
1985,6,June Lake,0.0,123.886666667,62.6,43.7,52.7333333333,0.343333333333,2.5
1985,6,Lone Pine,7.52666666667,68.7533333333,52.5333333333,39.2666666667,45.4,0.196666666667,2.5
1985,6,Sasse Ridge,0.0,45.7333333333,54.7777777778,35.1111111111,43.8148148148,0.037037037037,2.37037037037
1985,6,Sheep Canyon,7.10476190476,97.2,63.4285714286,44.0476190476,50.3333333333,0.0,3.04761904762
1985,6,Spencer Meadow,79.6366666667,67.8333333333,39.9,54.1,0.19,,2.5
1985,6,Surprise Lakes,6.51666666667,84.5533333333,57.3,21.8666666667,40.4333333333,0.216666666667,2.5
1985,7,Grouse Camp,0.0,24.1,71.8421052632,47.1578947368,59.8947368421,0.0,1.84210526316
1985,7,June Lake,0.0,126.1,75.1935483871,54.6129032258,64.6774193548,0.0225806451613,2.54838709677
1985,7,Lone Pine,0.0,69.8,68.1290322581,52.935483871,59.7741935484,0.0387096774194,2.54838709677
1985,7,Sasse Ridge,0.0,46.0,70.1904761905,46.0476190476,56.1428571429,0.0,2.47619047619
1985,7,Sheep Canyon,0.0,97.2,73.6129032258,52.6774193548,62.5483870968,0.0129032258065,2.54838709677
1985,7,Spencer Meadow,80.6,81.64,44.84,63.4,0.0,,2.2
1985,7,Surprise Lakes,0.0,85.8032258065,69.9032258065,35.6774193548,50.3548387097,0.0225806451613,2.54838709677
1985,8,Grouse Camp,0.0,24.2230769231,71.6153846154,45.6923076923,55.4615384615,0.0307692307692,3.53846153846
1985,8,June Lake,0.0,128.012903226,66.0967741935,48.7419354839,56.3225806452,0.058064516129,2.54838709677
1985,8,Lone Pine,0.0,71.5258064516,59.2903225806,46.0322580645,52.4193548387,0.0354838709677,2.54838709677
1985,8,Sasse Ridge,0.0,46.4434782609,61.5217391304,40.0,48.6086956522,0.0347826086957,2.21739130435
1985,8,Sheep Canyon,0.0,98.8516129032,63.5806451613,46.7741935484,54.1612903226,0.0516129032258,2.54838709677
1985,8,Surprise Lakes,0.0,88.1290322581,68.3870967742,25.9677419355,48.9677419355,0.0774193548387,2.54838709677
1985,9,Cougar Mountain,0.0,88.9,32.0,32.0,32.0,0.0,4.0
1985,9,Grouse Camp,0.0,25.1818181818,53.7272727273,35.7272727273,44.0909090909,0.163636363636,1.54545454545
1985,9,June Lake,0.0,134.14,55.9333333333,42.9666666667,48.0666666667,0.283333333333,2.5
1985,9,Lone Pine,0.0,76.1166666667,49.8666666667,41.3,44.6,0.21,2.5
1985,9,Sasse Ridge,0.0,48.895,51.7,35.5,41.3,0.105,2.75
1985,9,Sheep Canyon,0.0,104.44,54.5666666667,40.5,46.1333333333,0.266666666667,2.5
1985,9,Spencer Meadow,87.6142857143,60.9523809524,38.0,48.0,0.190476190476,,2.95238095238
1985,9,Surprise Lakes,0.0,92.7896551724,63.1379310345,35.4137931034,46.3793103448,0.155172413793,2.51724137931
1986,1,Cougar Mountain,9.51724137931,40.7551724138,32.0,32.0,32.0,0.365517241379,2.48275862069
1986,1,Grouse Camp,11.7322580645,16.4419354839,33.2258064516,19.5806451613,26.0,0.229032258065,2.54838709677
1986,1,June Lake,15.7580645161,64.2580645161,39.935483871,31.4516129032,35.8064516129,1.05161290323,2.54838709677
