Month,SensorName,Snow Water Equivalent (in),Precipitation Accumulation (in)
5,Sasse Ridge,18.3006965174,51.1967164179
5,Sheep Canyon,30.514571949,106.774954463
5,Skookum Creek,19.5422442244,122.499173554
5,Spencer Meadow,16.1331814038,84.075093985
5,Spirit Lake,0.828747433265,77.7104984093
5,Stampede Pass,28.4998069498,76.3375482625
5,Surprise Lakes,33.6403448276,85.4212068966
5,Swamp Creek,2.33222003929,35.2053045187
5,Thunder Basin,18.8394948335,59.621010333
5,Tinkham Creek,14.4823021583,91.1536690647
5,Touchet,14.4946629213,46.9714419476
5,Trough,1.22732758621,22.3312931034
5,Upper Wheeler,1.7908153702,23.4209934396
5,Waterhole,32.2235756385,63.0178781925
5,Wells Creek,23.6951026856,69.8845181675
5,White Pass ES,13.3503642987,38.4281420765
6,Alpine Meadows,22.2458730159,146.891347754
6,Blewett Pass,0.0,32.0431372549
6,Bumping Ridge,6.55216666667,54.5025
6,Bunchgrass Meadow,2.45196078431,45.3503921569
6,Burnt Mountain,1.37020833333,68.431875
6,Corral Pass,13.4601149425,54.9451724138
6,Cougar Mountain,0.669901960784,87.0747474747
6,Dungeness,0.147450980392,42.247254902
6,Elbow Lake,4.23683333333,131.1565
6,Fish Lake,1.43242424242,58.2553030303
6,Green Lake,0.57060518732,31.9299711816
6,Grouse Camp,0.0518279569892,30.1922580645
6,Hart's Pass,15.1414705882,46.5123232323
6,Huckleberry,0.0,38.927037037
6,June Lake,17.7878167641,139.278460039
6,Lone Pine,11.9418018018,84.5338738739
6,Lost Horse,-0.0946395563771,31.3554528651
6,Lyman Lake,32.7135353535,69.881010101
6,Meadows Pass,1.07272727273,87.2615151515
6,Morse Lake,19.7812745098,76.1454545455
6,Moses Mountain,0.0466666666667,24.0404166667
6,Mount Crag,4.43666666667,68.4217948718
6,Mount Gardner,0.250454545455,93.048030303
6,Mowich,0.0,50.2321568627
6,Olallie Meadows,18.7844117647,109.240196078
6,Paradise ,49.3746078431,104.02372549
6,Park Creek Ridge,3.31720720721,61.58
6,Pigtail Peak,25.3434313725,75.6608823529
6,Pope Ridge,0.00107843137255,31.7836363636
6,Potato Hill,1.90057012543,43.032041049
6,Quartz Peak,1.90057012543,43.032041049
6,Rex River,4.126,98.311
6,Salmon Meadows,0.0,18.4202020202
6,Sasse Ridge,3.1628125,52.806875
6,Sheep Canyon,16.7266475645,113.001050621
6,Skookum Creek,3.22119089317,131.685113835
6,Spencer Meadow,5.94103053435,88.2948869223
6,Spirit Lake,0.0,82.1248888889
6,Stampede Pass,6.5495959596,80.0104040404
6,Surprise Lakes,10.8590990991,89.4424324324
6,Swamp Creek,0.00229166666667,36.3375
6,Thunder Basin,4.38507821901,62.2339350181
6,Tinkham Creek,2.90984848485,96.9921212121
6,Touchet,0.535588235294,51.6304901961
6,Trough,0.000540540540541,23.9851351351
6,Upper Wheeler,0.0,25.3281372549
6,Waterhole,12.6025,64.9779166667
6,Wells Creek,6.7135,73.9443333333
6,White Pass ES,3.31685714286,39.8712380952
7,Alpine Meadows,4.27281105991,152.457741935
7,Blewett Pass,0.0,32.9213472486
7,Bumping Ridge,3.36838709677,55.9914516129
7,Bunchgrass Meadow,0.0,48.5924098672
7,Burnt Mountain,0.0,71.471539961
7,Corral Pass,0.835150166852,57.1262513904
7,Cougar Mountain,0.0,90.4140762463
7,Dungeness,0.000189753320683,43.3774193548
7,Elbow Lake,0.0779032258065,134.75516129
7,Fish Lake,0.0133431085044,59.5167155425
7,Green Lake,0.0,33.4410557185
